"actual coordinate","rssi1","distance1","rssi2","distance2","rssi3","distance3","x measured","y measured","x predicted","y predicted","x estimated","y estimated"
"-","-58.5","140.3749699983403","-59.5","156.21180018655102","-48.0","232.2827060381724","328.5417694353176","296.9649158178719","0.5","0.5","121.72519548698884","158.95252592715738"
"(100,100)","-52.9","191.02085544851968","-65.1","38.33465112789137","-47.5","223.23887625031782","311.12219054435036","260.38407991775335","365.5302325095433","477.1675867431902","322.20310052234527","291.54952919030654"
"(300,100)","-44.5","303.2267068868453","-61.5","94.58298323558716","-62.5","734.820564462041","673.3456884890599","-71.25988518141666","529.4708136182946","439.34528041028807","645.9147684731563","2.0822376413207166"
"(500,100)","-51.0","212.06753956936998","-56.5","331.5622523306064","-49.3","257.548606595834","317.79886951704117","380.3519551516422","945.9227138501744","-249.72934028727906","434.90705056767297","293.4804218770449"
"(500,500)","-59.7","131.40750001183886","-45.2","5645.530612291336","-48.75","246.54003342511217","336.261714184912","40103.73866843535","325.7647288597837","542.9857807531257","334.3371799213404","34679.49959645271"
"(300,300)","-57.6","147.4999316265026","-48.5","2466.995733075375","-53.7","365.2861760382437","393.0648004790177","7823.091046118593","233.07207228506172","66305.62453283074","363.7798343152895","15841.67418003892"
"(100,300)","-54.65","173.4886485759388","-53.1","778.0302646476929","-47.2","217.98248448066352","314.51504362971417","1020.6546941815312","368.27192517033666","1084.7211165210792","324.35461335282423","1029.4378068586225"
"(100,100)","-49.4","231.57956236526246","-55.3","448.02843554344196","-42.5","150.07188455123398","274.07706402289364","515.8176836706017","294.64767501312247","-13777.329451482625","277.84198990239037","-1443.6613659397044"
"(300,100)","-40.3","382.04171089703914","-60.9","109.94696784379965","-41.8","141.9559065463118","195.1630087818736","223.79332700473057","235.66533055069277","-4912.878468922792","202.5757980728717","-480.4042570840684"
"(500,100)","-56.5","156.70116145924493","-63.75","53.78665979464895","-41.0","133.2165520345916","294.3261631110906","289.6775661281683","134.8780774203365","125.50941091831055","265.14377114224555","267.17140204975703"
"(500,500)","-61.9","116.42851551478246","-51.4","1191.8241899326304","-47.3","219.72071723682564","328.93466196507416","2049.410629130688","302.8531588718323","1004.2943957335559","324.1611929393904","1906.1334093947166"
"(300,300)","-63.8","104.87354489704876","-47.4","3250.9766817140962","-51.4","304.29639756372137","367.99819762581984","13458.815007567537","379.9488340140087","3473.186219195253","370.1854176526254","12089.863800624724"
