"label","n","rssi1","rssi2","rssi3","dist1","dist2","dist3","x","y"
"d","5","-65.0","-37.0","-52.0","451.64838795074616","100.53413235792004","208.79136806366714","433.66035913384167","229.60367386155363"
"d","5","-69.0","-37.0","-54.0","598.4494055950508","100.53413235792004","244.98942627213066","548.4348933932683","336.2170540651862"
"d","5","-69.0","-37.0","-54.0","598.4494055950508","100.53413235792004","244.98942627213066","548.4348933932683","336.2170540651862"
"d","5","-74.0","-37.0","-52.0","850.7680253403762","100.53413235792004","208.79136806366714","866.8436646363876","554.4911529884632"
"d","5","-76.0","-37.0","-52.0","979.3200522386986","100.53413235792004","208.79136806366714","1062.894941115758","701.5296103479909"
"d","5","-75.0","-37.0","-52.0","912.783756987027","100.53413235792004","208.79136806366714","957.9836263678786","622.8461242870814"
"d","5","-75.0","-37.0","-52.0","912.783756987027","100.53413235792004","208.79136806366714","957.9836263678786","622.8461242870814"
"d","5","-75.0","-37.0","-54.0","912.783756987027","100.53413235792004","244.98942627213066","944.2953066951702","633.1123640416126"
"d","5","-71.0","-37.0","-54.0","688.8757989172035","100.53413235792004","244.98942627213066","645.4417061238896","408.97216361315225"
"d","5","-68.0","-37.0","-55.0","557.7899641255992","100.53413235792004","265.37789261810445","500.5868484906759","313.3380290198399"
"d","5","-68.0","-37.0","-56.0","557.7899641255992","100.53413235792004","287.4631242745907","490.4121635512737","320.9690427243915"
"d","5","-65.0","-37.0","-53.0","451.64838795074616","100.53413235792004","226.1673660643619","427.3621573883472","234.32732517067453"
"d","5","-67.0","-37.0","-53.0","519.8929787053169","100.53413235792004","226.1673660643619","482.6141931954967","275.76635202603666"
"d","5","-67.0","-37.0","-52.0","519.8929787053169","100.53413235792004","208.79136806366714","488.91239494099113","271.04270071691576"
"d","5","-67.0","-37.0","-53.0","519.8929787053169","100.53413235792004","226.1673660643619","482.6141931954967","275.76635202603666"
"d","5","-67.0","-37.0","-51.0","519.8929787053169","100.53413235792004","192.75033412862905","494.2800150003241","267.01698567241607"
"d","5","-67.0","-37.0","-52.0","519.8929787053169","100.53413235792004","208.79136806366714","488.91239494099113","271.04270071691576"
"d","5","-67.0","-37.0","-51.0","519.8929787053169","100.53413235792004","192.75033412862905","494.2800150003241","267.01698567241607"
"d","5","-68.0","-37.0","-51.0","557.7899641255992","100.53413235792004","192.75033412862905","528.3141273104493","292.5425699050099"
"d","5","-69.0","-37.0","-51.0","598.4494055950508","100.53413235792004","192.75033412862905","567.4908331253097","321.9250992661552"
"d","5","-69.0","-37.0","-52.0","598.4494055950508","100.53413235792004","208.79136806366714","562.1232130659766","325.95081431065495"
"d","5","-68.0","-37.0","-51.0","557.7899641255992","100.53413235792004","192.75033412862905","528.3141273104493","292.5425699050099"
