label,rssi1,rssi2,rssi3,KF rssi1,KF rssi2,KF rssi3,dist1,dist2,dist3,measured dist1,measured dist2,measured dist3,estimated x,estimated y,estimated x (KF),estimated y (KF)
a,-58.86,-53.86,-55.84,0.35197007481296755,0.3644389027431421,0.359501246882793,293.21221388808675,266.86635192289435,298.2837784330242,4.548383268300754,11.553294840458888,4.093113443901926,297.500158247393,107.81957204510404,300.00327851057557,87.35655257792429
b,-45.41,-38.37,-50.79,1.3643075903146802,1.4429794827580285,1.3323848502856201,113.81351912659139,108.83412141715544,202.89038157445566,4.235681685206178,10.853846553631312,3.8002333577288256,276.49084183379233,106.51768256382434,300.002916021471,87.3729817518075
c,-58.71,-43.93,-47.82,2.298951593840897,2.7133063771459227,2.4695454044929974,290.13394651953257,150.1699411645,161.7443375725537,3.9660997944411456,10.084134429595823,3.4843538123768094,348.3470634885123,128.27307200067776,300.0029910217413,87.39030695917563
d,-54.98,-44.56,-51.77,2.6234377642996023,3.584110995477152,2.981046118235992,223.16284574919547,155.74915183254004,218.64564320510934,3.8765768404864938,9.588273344391988,3.3509657000813218,301.663115358586,118.18248526396496,300.0031657307309,87.40149177979359
e,-58.59,-29.73,-58.55,1.365653947783815,4.4144860978721105,1.8025018985786643,287.69461717912833,65.99241779980542,366.8132658840317,4.235280462140696,9.138162400988262,3.6663130640650103,256.84685060444656,217.8813539801415,300.00374645759103,87.41522964246444
f,-57.28,-50.96,-62.3,-1.6939574996152391,2.3511570272966473,-1.6904702821147666,262.36288735975654,225.61459884143602,488.3467854092901,5.252595268654028,10.297828060794947,4.7862389331751745,158.62641820346755,215.94560816410709,300.0039013949424,87.39900457165145
a,-59.19,-53.76,-57.48,-6.822394992985336,-1.8948939850830406,-6.61888289805896,300.0998529079547,265.32557114927573,338.0514985604314,7.53498321298186,13.168052540287945,6.9716066744204985,279.8175883636855,127.21463748934418,300.00681056033085,87.34911503514697
b,-44.84,-35.09,-50.16,-11.061885405998328,-4.686651008056181,-11.700765184087398,109.33935508654196,90.00829870256939,193.36677968410993,10.153769769071372,15.478403835147581,10.27442918969584,278.8036525711148,108.21426149092632,299.9979459544577,87.330938103206
c,-56.48,-42.48,-48.76,-17.65976355123845,-9.148660151152338,-16.90371021428526,248.00304128942892,138.07647785543713,173.77318695957314,16.152397151169247,20.041619414272756,15.282514518020129,326.0903233189328,120.98275095060433,300.02278723644633,87.30695135389342
d,-52.94,-44.06,-51.52,-23.39019038877564,-13.900029098581932,-22.40908400555526,193.32416067645426,151.30460112780264,214.51381893615152,24.17353532009477,26.388579402652134,23.262430529465107,292.7983771555696,111.00265310683787,300.03601594644476,87.33299139889371
e,-63.46,-29.0,-59.23,-30.634685135882297,-15.050347916574108,-28.868857937521305,405.26871455778075,63.26108690937249,386.3507313078699,40.2446671677753,28.206110675629365,38.084327775444976,312.479869514325,278.4410552172072,300.1410143444479,88.42429993666305
f,-57.76,-53.25,-62.21,-35.571619942285,-20.96047167501185,-34.973901568407044,271.37487649990857,257.60487730017354,485.0042386401493,56.9593457753954,39.71602189659618,60.68494352666885,165.34601008035807,197.59555592286037,299.63475391693834,89.85769040713392
a,-58.6,-53.6,-64.28,-39.59760263812446,-25.98841250493588,-40.357409429142045,287.8971089094752,262.8788039192429,568.0020661432026,75.61116236751346,53.13784352270028,91.51711430664784,100.215331812906,254.56285085084863,297.784721386292,92.77823078568532
b,-43.98,-34.53,-49.0,-39.29688961419953,-25.749154377499973,-41.121493128992306,102.91950961559444,87.1365118974946,176.98517810432082,74.02818534752322,52.406755694792786,97.01206353381487,282.72389349241354,104.20664707300513,296.72402646229864,93.37411038251801
c,-56.11,-42.94,-49.18,-41.1421926738742,-26.93264929846674,-41.21503180068988,241.63008764669405,141.8036374192658,179.4330732541942,84.29145618907053,56.124017666897885,97.7070319984337,321.8240595655867,118.97798991432808,297.9653212371092,93.96993935641774
d,-51.92,-43.28,-52.28,-41.292273204982735,-27.614152271201803,-41.436526032155214,179.93607986787424,144.6230075281897,227.32298838689448,85.18625558269606,58.38302364962168,99.37259479557537,283.91770982422486,113.88819079648034,297.818154619829,93.9465348972884
e,-63.54,-29.0,-57.52,-43.537901020258225,-24.612934060164743,-42.31439470412686,407.55630709779507,63.26108690937249,339.08498091412116,99.76738818533263,49.06983718847593,106.25787854207974,342.60293264471863,258.1730234392574,298.88566249421626,97.76785665886196
f,-58.24,-53.0,-59.22,-43.8829776057444,-27.00724246625959,-43.03025480152326,280.6964214201466,253.902690963479,386.05600884750856,102.21932759030608,56.36695251828443,112.22415108609836,241.45936585900742,149.3103562552202,298.2121090383491,97.93036521725791
a,-58.75,-53.55,-57.24,-43.89606387787233,-28.949452553937036,-42.825323653740135,290.951643845798,262.1188262544581,331.91641746790765,102.31348872468182,63.076200817955794,110.48274528412216,278.7369590598681,123.38050567954552,298.5513441412495,96.69829547579853
b,-43.98,-35.0,-49.0,-40.24438542658537,-26.225721072281193,-40.45533467327129,102.91950961559444,89.54045831108701,176.98517810432082,79.13151682039393,53.873048354619414,92.20357854384706,282.72389349241354,103.67574461188347,298.13358088167075,93.09917885784336
c,-56.52,-42.28,-49.0,-39.556808057457104,-25.22296252979249,-38.08724012862709,248.70199922317227,136.4866826158877,176.98517810432082,75.39444784027768,50.83409197948865,76.95979152251346,325.4407759574872,122.44950538952553,299.8012610449597,91.52432653848179
d,-50.88,-44.36,-55.2,-37.47329368433403,-24.632003562369317,-37.18498197600511,167.239646528426,153.95587564246745,284.0655835980682,65.11393623568699,49.12404945281644,71.83912772734237,256.0632029883682,125.78595741636632,299.23247034956637,90.35896280965315
e,-62.21,-29.0,-57.52,-38.024101767618006,-20.51879083163217,-36.75851333442981,371.14802088415223,63.26108690937249,339.08498091412116,67.68693540569268,38.713170871830435,69.53875898259832,318.97685760391096,240.45346715865168,299.78823518647874,91.51233814221953
f,-57.9,-52.79,-63.0,-37.41405051199942,-22.16848429672951,-37.497479566572935,274.06121765150357,250.83400386143754,515.14309457883,64.84308539141551,42.59354315377613,73.57290634071519,141.44761927364289,221.65410245409925,298.9930443130489,91.24323652107054
a,-58.0,-53.01,-54.54,-36.7927703921677,-23.62210415661729,-36.13584849306042,275.9962983390512,254.04975173019147,270.11254730267626,62.06966107314669,46.333820072716854,66.31174321448329,302.6776404054317,100.03262012428452,299.5461629479931,89.9726527180107
b,-44.0,-36.0,-49.75,-32.99785434625476,-20.99356171887124,-33.76766376650145,103.06443887395848,94.87819711206384,187.41034370679552,47.52466851309615,39.792191727367715,55.34820765815846,279.5830346934206,104.8382318213949,299.3293083552575,88.84698822707196
c,-56.33,-43.67,-48.93,-32.40448983398479,-20.365627644168438,-31.447833966105357,245.3993991724098,147.92608447449675,176.0422628275264,45.581415617840086,38.37135475330145,46.368096513425606,324.3583223439532,117.15468154981484,299.9397208962066,88.30184005799823
d,-52.0,-44.38,-54.56,-30.89661059591615,-19.95501407178253,-30.672177285608665,180.95175272689156,154.13427017492597,270.5251227834694,40.99321017629969,37.46980111452789,43.70310449842702,266.29974563160243,124.00789524201946,299.8087349481316,87.98902039514634
e,-63.88,-29.0,-58.24,-32.27491765749524,-16.095390950448753,-30.83843434551492,417.42351548270494,63.26108690937249,358.2374192139957,45.16775499882187,29.96560279019066,44.26112166186177,338.25695229403,271.6078184807086,300.0675660007228,88.87706142577547
f,-58.0,-52.23,-61.56,-32.163412991706316,-17.992904012175806,-31.754842072995665,275.9962983390512,242.8309442220846,461.5333576982691,44.81478173388025,33.445676843738966,47.467263571315684,185.96743035718345,194.53328876344915,299.79601962575555,88.76517448358277
a,-57.76,-53.0,-58.81,-32.0101918031892,-19.86898641986409,-31.942689293102134,271.37487649990857,253.902690963479,374.1640080389194,44.3342478596333,37.28361726169504,48.152614048004786,244.70468223632673,140.44367221881083,299.70570941135276,88.44003971293901
b,-44.0,-36.0,-49.0,-28.74925147722622,-17.65696063374913,-29.875766128337112,103.06443887395848,94.87819711206384,176.98517810432082,35.244846758528126,32.80137006630956,41.126093661695016,282.74877107648814,102.46392953409423,299.62570303596806,87.98855940403044
c,-56.0,-43.46,-48.0,-28.632488291871795,-17.40955893131889,-27.84043193834924,239.76719888702527,146.13823864363988,163.98143552450733,34.956482391798346,32.334827318631035,35.209672093900316,325.4986653878768,113.54090704442349,299.9851955435401,87.73162159669793
