label,acc dist1,acc dist2,acc dist3,acc measured dist1,acc measured dist2,acc measured dist3,acc estimated x,acc estimated y,acc estimated,acc measured x,acc measured y,acc measured
a,151.79085765077724,93.68877562350457,211.61817292625426,136.87297296900874,349.00183270594005,505.80883791537656,197.50015824739302,7.819572045104039,197.65489676381372,200.00327851057557,12.64344742207571,200.40251539762082
b,202.41424689024657,191.16587858284456,113.3373844423823,311.99208433163176,289.1461534463687,312.42753265910915,23.50915816620767,6.517682563824337,24.395915717319333,0.0029160214709804677,12.627018248192499,12.627018584898321
c,219.7680048397459,210.38518638189893,20.32298133524418,505.9358515648373,350.4709931168031,137.9370024249327,151.65293651148772,28.273072000677757,154.26593840803883,199.9970089782587,12.609693040824368,200.39413154789113
d,359.93234373533454,67.85764591743893,97.58212281172862,579.2186126440436,214.018524405587,312.87680031675666,198.33688464141397,181.81751473603504,269.0634283473878,199.99683426926907,212.5985082202064,291.88501060381066
e,136.5694515328002,34.00758220019458,57.45080282789684,420.02878824978785,90.86183759901174,420.5977556478635,43.15314939555344,82.11864601985849,92.76673071144512,0.0037464575910348685,212.58477035753555,212.58477039054813
f,53.86487865708142,2.007801091457054,94.74840407523993,310.9751707481839,213.308969689184,578.3089505513549,58.62641820346755,84.05439183589291,102.48023076803493,200.00390139494237,212.60099542834854,291.8916645440951
a,158.6784966706452,95.22955639712319,171.85045279884707,133.88637302432764,347.387075006111,502.93034468485797,179.8175883636855,27.214637489344184,181.86533913477922,200.00681056033085,12.650884964853034,200.4065097767785
b,206.888410930296,209.9917012974306,122.86098633272803,306.0739962477666,284.52159616485244,305.9533368271421,21.19634742888519,8.214261490926319,22.732338994642035,0.0020540455423088133,12.669061896794005,12.669062063306061
c,261.89891006984953,222.4786496909618,32.35183072226363,493.74955420810926,340.51350813212616,126.13884171928939,173.9096766810672,20.982750950604327,175.17092076246107,199.97721276355367,12.693048646106575,200.37963746002745
d,389.77102880807576,72.30219662217633,101.71394708068644,558.9216541644353,197.21821834732683,292.96533548737284,207.2016228444304,188.99734689316213,280.4505475873061,199.96398405355524,212.6670086011063,291.91240375481397
e,18.995354154147776,36.73891309062751,37.91333740405861,384.01940154415325,71.79388932437064,386.17974093648354,12.479869514325003,21.55894478279282,24.910544820258117,0.1410143444479104,211.57570006333697,211.57574705607556
f,44.852889516929395,33.998079550194575,98.0909508443807,259.2684202414426,183.8907758533828,522.4102459578612,65.34601008035807,102.40444407713963,121.47745140630123,199.63475391693834,210.14230959286607,289.85138476898896
a,146.4757526721657,97.67632362715602,58.100114783924084,65.81019386979605,307.41728402369864,418.38483705263064,0.21533181290600112,154.56285085084863,154.56300084732868,197.784721386292,7.221769214314676,197.9165227171243
b,213.3082564012435,212.8634881025054,139.24258791251714,242.19958066931474,247.5932443052072,219.2157024830231,17.276106507586462,4.206647073005129,17.780881183402972,3.2759735377013612,6.625889617481988,7.391509713365408
c,268.27186371258443,218.7514901271331,38.01171701688469,425.61049517020797,304.43110987950104,43.714324238875804,178.1759404344133,18.977989914328077,179.18378791306966,202.0346787628908,6.03006064358226,202.12464731988962
d,403.15910961665577,78.98379022178926,88.90477762994348,497.90893390183396,165.22377410035728,216.8551712212626,216.08229017577514,186.11180920351967,285.18268119332777,202.181845380171,206.05346510271158,288.6789377182993
e,16.70776161413346,36.73891309062751,85.17908779780737,324.4966805265959,50.93016281152407,318.00619016984876,42.602932644718635,41.826976560742594,59.70348262993829,1.1143375057837375,202.23214334113806,202.23521342344762
f,35.53134459669138,30.295893213500023,197.03918063702145,214.00843842653188,167.23984523169455,470.87103839843166,141.45936585900742,150.6896437447798,206.6836251887439,198.21210903834913,202.06963478274207,283.055078510634
a,149.5302876084885,98.43630129194082,177.98553389137084,39.10786751262769,297.4789267284431,399.41920607515635,178.73695905986813,23.38050567954552,180.25966986489306,198.5513441412495,3.301704524201469,198.57879421796787
b,213.3082564012435,210.459541688913,139.24258791251714,237.09624919644403,246.1269516453806,224.0241874729909,17.276106507586462,3.6757446118834736,17.662812757691274,1.8664191183292473,6.900821142156644,7.148765820846355
c,261.1999521361062,224.06844493051122,35.56382186701131,434.5075035190008,309.72103556691025,64.46156471479605,174.55922404251282,22.449505389525527,175.9968834683118,200.1987389550403,8.475673461518213,200.37807295164473
d,415.85554295610405,69.65092210751152,32.16218241876976,517.981253248843,174.48274829716252,244.3886382894956,243.93679701163182,174.21404258363367,299.7593927963329,200.76752965043363,209.64103719034685,290.27050390313883
e,53.1160478277763,36.73891309062751,85.17908779780737,356.57713330623585,61.286829128169565,354.7253097293302,18.976857603910958,59.54653284134832,62.49728552461209,0.2117648135212562,208.48766185778047,208.4877694044916
