label,rssi1,rssi2,rssi3,dist1,dist2,dist3,estimated x,estimated y,predicted x,predicted y,measured x,measured y
a,-58.86,-53.86,-55.84,293.21221388808675,266.86635192289435,283.80978017933217,304.52117587309357,102.55380882582861,305.02117587309357,103.05380882582861,304.6211598756532,102.6537928283882
b,-45.41,-38.37,-50.79,113.81351912659139,108.83412141715544,189.54157517655153,280.8562570129755,103.24362117943691,305.32124786157544,103.35388081431046,282.86144477176606,103.2526582263545
c,-58.71,-43.93,-47.82,290.13394651953257,150.1699411645,149.48368881622068,351.5269447507452,125.88816105400308,258.8931405529689,104.83706304812608,344.80798553472687,124.36127278487932
d,-54.98,-44.56,-51.77,223.16284574919547,155.74915183254004,204.98757503141962,306.4847915046811,114.56622815439366,421.412643877676,149.57370429491638,314.7423125487395,117.08150156254501
e,-58.59,-29.73,-58.55,287.69461717912833,65.99241779980542,352.46135970735816,265.44931888923793,211.429502766548,269.1812263683619,105.77716256218818,265.71727195260604,203.84360510747427
f,-57.28,-50.96,-62.3,262.36288735975654,225.61459884143602,475.665620964344,168.81375141362776,208.30510825648693,217.15627946517978,306.7787995901584,172.28460193543518,215.37522801905493
a,-59.19,-53.76,-57.48,300.0998529079547,265.32557114927573,323.5667553257909,287.80373046942987,121.22503091003595,72.91027343785237,213.7666981067101,272.37507021613055,127.86922548987174
b,-44.84,-35.09,-50.16,109.33935508654196,90.00829870256939,180.23225781778777,282.89285651053615,105.14735853636031,404.3228725875961,28.074827951132576,291.61113958295493,99.61379969763584
c,-56.48,-42.48,-48.76,248.00304128942892,138.07647785543713,161.14920329816488,329.6137023043107,118.34021671157087,294.41064335605506,83.4254912330532,327.0862363838555,115.8334522028754
d,-52.94,-44.06,-51.52,193.32416067645426,151.30460112780264,200.93157466796865,297.50061116892175,107.47597759682378,368.61626503713745,138.06663373688292,302.60648539401933,109.6722878916541
e,-63.46,-29.0,-59.23,405.26871455778075,63.26108690937249,372.15113215381115,321.45522152996045,271.7095412054806,268.91498595565173,100.11850299148783,317.683002335134,259.3898589479551
f,-57.76,-53.25,-62.21,271.37487649990857,257.60487730017354,472.25568822084733,175.51574044866206,189.9682581466324,341.3039576659898,434.7467945195953,187.4187989032546,207.54256635610906
a,-58.6,-53.6,-64.28,287.8971089094752,262.8788039192429,557.2399137850426,110.30701983606048,246.9940848334828,34.34847856221015,121.54665734533924,104.85344193961342,237.98736476958646
b,-43.98,-34.53,-49.0,102.91950961559444,87.1365118974946,164.27078739611517,286.33961155647904,101.49485852495606,34.19524076886701,287.44560331085756,268.23646022971417,114.84552132844703
c,-56.11,-42.94,-49.18,241.63008764669405,141.8036374192658,166.65159358645872,325.51028800936905,116.21331858149131,468.8257811733445,-33.997647719674205,335.79987747001485,105.42865642387329
d,-51.92,-43.28,-52.28,179.93607986787424,144.6230075281897,213.51746864088068,288.9894028528405,110.08442102501866,383.784115789024,118.58111583453555,295.79535702861887,110.69445626567682
e,-63.54,-29.0,-57.52,407.55630709779507,63.26108690937249,324.6030453195712,350.6125053537106,252.16584390751345,243.17892823566615,115.74018562616402,342.89912155668804,242.37092233537533
f,-58.24,-53.0,-59.22,280.6964214201466,253.902690963479,371.8537542775819,250.4293886897869,142.5828391321356,406.42965367880237,394.6372315493501,261.6297037921628,160.67953030256078
a,-58.75,-53.55,-57.24,290.951643845798,262.1188262544581,317.4181219987053,286.58216240282263,117.49660317232966,158.95965582288574,43.79475592889585,277.4192786862406,112.20504861752325
b,-43.98,-35.0,-49.0,102.91950961559444,89.54045831108701,164.27078739611517,286.339611556479,100.96395606383442,312.5346210134825,75.31367604209854,288.2203286183943,99.12234881574514
c,-56.52,-42.28,-49.0,248.70199922317227,136.4866826158877,164.27078739611517,329.05649402155257,119.73771684147646,296.25994442671737,90.72286351014559,326.7018077025343,117.65454409825702
d,-50.88,-44.36,-55.2,167.239646528426,153.95587564246745,269.6548408012974,262.7128051694832,120.79875578053004,370.89265942471076,141.35308486720777,270.47976925427474,122.27449021280765
e,-62.21,-29.0,-57.52,371.14802088415223,63.26108690937249,324.6030453195712,326.98643031290294,234.4462876269077,199.72380263643208,124.94296746280307,317.84938473908176,226.58430296501828
f,-57.9,-52.79,-63.0,274.06121765150357,250.83400386143754,503.0416492644326,151.71554177162034,213.95316058061616,384.49309137153114,347.6180850410077,168.42821789727637,223.54987038234034
a,-58.0,-53.01,-54.54,275.9962983390512,254.04975173019147,255.79658187147402,308.95172116644073,95.32705955352773,-13.418301195841082,202.32201819621406,285.806594904817,103.0089519608781
b,-44.0,-36.0,-49.75,103.06443887395848,94.87819711206384,174.4208461921977,283.49970581166804,101.90072848270933,450.4752244356051,-31.895751275284866,295.48800867193825,92.2945734355771
c,-56.33,-43.67,-48.93,245.3993991724098,147.92608447449675,163.35413068387666,327.94691091891224,114.46324011859556,282.192816718519,101.79250500454053,324.66191475365395,113.55352226737173
d,-52.0,-44.38,-54.56,180.95175272689156,154.13427017492597,256.2058753635166,272.58507187012356,119.2939005631286,361.40581316588623,137.631906801614,278.962114179694,120.61051017423941
e,-63.88,-29.0,-58.24,417.42351548270494,63.26108690937249,343.83423634473496,346.6836743293108,265.28777695424793,221.5082289865932,126.03427885888547,337.69648170487915,255.28982561816537
f,-58.0,-52.23,-61.56,275.9962983390512,242.8309442220846,448.3435098652519,195.96837821547112,187.0325778697334,415.4052344789276,410.9650437342565,211.7232356536847,203.11020555524595
a,-57.76,-53.0,-58.81,271.37487649990857,253.902690963479,359.86369624472513,253.45203643368734,133.88315657079036,55.24027472606312,119.77533012130138,239.2210722216794,132.87026020388333
b,-44.0,-36.0,-49.0,103.06443887395848,94.87819711206384,164.27078739611517,286.36448914055353,99.7521409860452,296.18083721369,65.65610758633478,287.06927122269593,97.30415592752765
c,-56.0,-43.46,-48.0,239.76719888702527,146.13823864363988,151.65018291617812,328.74210973635,111.10832378306861,334.5079060594276,67.63402176820708,329.1560752872363,107.98700933237464
d,-52.0,-43.89,-54.89,180.95175272689156,149.82252986690355,263.05455537184525,269.62153142754573,123.15478437835928,371.4149482500041,125.91249163860958,276.9299699346169,123.35277885149102
e,-63.62,-29.0,-57.61,409.85681225465135,63.26108690937249,326.9468488575316,350.9069704780624,254.29557393468986,211.08698756785515,139.32255942434392,340.868347362176,246.04088288736
f,-58.0,-52.77,-61.42,275.9962983390512,250.54368935323134,443.3538164942461,199.6761250807041,179.49517671713448,425.88397102150793,386.23836901788866,215.91711770558908,194.33867008685786
a,-58.0,-52.47,-57.64,275.9962983390512,246.22907586010982,327.73187146183295,273.971480937486,126.45288791930406,59.483902799232226,113.94947054690897,258.57196568113005,125.55518294144902
b,-44.0,-35.07,-49.0,103.06443887395848,89.904123373188,164.27078739611517,286.36448914055353,100.901042095713,333.0258441693829,59.56710575175026,289.7146237025911,97.93339898621875
c,-56.24,-42.94,-48.61,243.85035272771222,141.8036374192658,159.22840790660356,328.42442386746495,115.37508577452013,315.157012599977,77.24690124997699,327.471866595853,112.63760529019862
d,-52.13,-44.0,-55.19,182.61446311963041,150.77985049497892,269.4393654824171,267.29205872408613,125.29780448841375,368.1342240323388,133.8167725628215,274.53220044524176,125.90943887754229
e,-62.55,-29.0,-57.04,380.13376052290096,63.26108690937249,312.38360878113906,339.0984640451287,233.80079043156226,208.11225085231922,138.95800368662887,329.6940770594415,226.99138471160728
f,-58.9,-52.52,-62.18,294.03858683134564,246.94298336819784,471.1244848727884,187.08367524927047,204.03456045178308,404.66472764501566,342.6921419855822,202.70529196454015,213.98972690372005
